 ,Area,Mean,Min,Max
319,214,255,255,255
320,183,255,255,255
321,151,255,255,255
322,214,255,255,255
323,104,255,255,255
324,167,255,255,255
325,114,255,255,255
326,185,255,255,255
327,97,255,255,255
328,188,255,255,255
329,154,255,255,255
330,165,255,255,255
331,98,255,255,255
332,115,255,255,255
333,124,255,255,255
334,121,255,255,255
335,141,255,255,255
336,156,255,255,255
337,131,255,255,255
338,150,255,255,255
339,28,255,255,255
340,147,255,255,255
341,155,255,255,255
342,178,255,255,255
343,101,255,255,255
344,191,255,255,255
345,41,255,255,255
346,99,255,255,255
347,163,255,255,255
348,184,255,255,255
349,154,255,255,255
350,67,255,255,255
351,177,255,255,255
352,128,255,255,255
353,160,255,255,255
354,82,255,255,255
355,145,255,255,255
356,135,255,255,255
357,175,255,255,255
358,127,255,255,255
359,190,255,255,255
360,124,255,255,255
361,101,255,255,255
362,45,255,255,255
363,160,255,255,255
364,107,255,255,255
365,134,255,255,255
366,141,255,255,255
367,194,255,255,255
368,93,255,255,255
369,92,255,255,255
370,183,255,255,255
371,189,255,255,255
372,83,255,255,255
373,168,255,255,255
374,174,255,255,255
375,131,255,255,255
376,164,255,255,255
377,121,255,255,255
378,160,255,255,255
379,190,255,255,255
380,143,255,255,255
381,136,255,255,255
382,158,255,255,255
383,77,255,255,255
384,171,255,255,255
385,140,255,255,255
386,107,255,255,255
387,86,255,255,255
388,100,255,255,255
389,86,255,255,255
390,92,255,255,255
391,102,255,255,255
392,176,255,255,255
393,137,255,255,255
394,139,255,255,255
395,157,255,255,255
396,202,255,255,255
397,115,255,255,255
398,132,255,255,255
399,176,255,255,255
400,107,255,255,255
401,121,255,255,255
402,191,255,255,255
403,132,255,255,255
404,161,255,255,255
405,160,255,255,255
406,126,255,255,255
407,129,255,255,255
408,93,255,255,255
409,84,255,255,255
410,130,255,255,255
411,118,255,255,255
412,131,255,255,255
413,158,255,255,255
414,159,255,255,255
415,123,255,255,255
416,188,255,255,255
417,134,255,255,255
418,110,255,255,255
419,111,255,255,255
420,106,255,255,255
421,176,255,255,255
422,158,255,255,255
423,171,255,255,255
424,179,255,255,255
425,116,255,255,255
426,208,255,255,255
427,118,255,255,255
428,132,255,255,255
429,89,255,255,255
430,135,255,255,255
431,143,255,255,255
432,89,255,255,255
433,105,255,255,255
434,140,255,255,255
435,201,255,255,255
436,138,255,255,255
437,156,255,255,255
438,166,255,255,255
439,151,255,255,255
440,82,255,255,255
441,149,255,255,255
442,126,255,255,255
443,125,255,255,255
444,121,255,255,255
445,176,255,255,255
446,140,255,255,255
447,141,255,255,255
448,109,255,255,255
449,103,255,255,255
450,86,255,255,255
451,114,255,255,255
452,107,255,255,255
453,161,255,255,255
454,151,255,255,255
455,181,255,255,255
456,196,255,255,255
457,103,255,255,255
458,144,255,255,255
