Plate,Treatment,Age_Bolted,Light_Lev
113,NVP80cu,22,116
113,NVP80cu,22,116
47,NVP80wt,21,116
47,NVP80wt,22,116
47,NVP80wt,23,116
5,Ctrl,22,116
5,Ctrl,23,116
5,Ctrl,NA,116
54,NVP64cu,21,110
54,NVP64cu,21,110
54,NVP64cu,21,110
66,NVP64wt,21,110
66,NVP64wt,22,110
66,NVP64wt,22,110
53,NVP80cu,22,110
53,NVP80cu,23,110
53,NVP80cu,23,110
52,NVP80wt,22,110
52,NVP80wt,23,110
52,NVP80wt,23,110
35,Ctrl,21,110
35,Ctrl,21,110
35,Ctrl,22,110
94,NVP64cu,23,107
94,NVP64cu,24,107
94,NVP64cu,24,107
126,NVP64wt,21,107
126,NVP64wt,24,107
126,NVP64wt,24,107
68,NVP80cu,22,107
68,NVP80cu,23,107
68,NVP80cu,24,107
92,NVP80wt,22,107
92,NVP80wt,25,107
92,NVP80wt,25,107
125,Ctrl,22,107
125,Ctrl,23,107
125,Ctrl,24,107
49,NVP64cu,22,116
49,NVP64cu,22,116
49,NVP64cu,22,116
101,NVP64wt,23,116
101,NVP64wt,23,116
101,NVP64wt,25,116
78,NVP80cu,22,116
78,NVP80cu,23,116
78,NVP80cu,23,116
117,NVP80wt,22,116
117,NVP80wt,23,116
117,NVP80wt,24,116
15,Ctrl,21,116
15,Ctrl,22,116
15,Ctrl,23,116
9,NVP64cu,22,109
9,NVP64cu,23,109
9,NVP64cu,24,109
96,NVP64wt,22,109
96,NVP64wt,23,109
96,NVP64wt,23,109
63,NVP80cu,21,109
63,NVP80cu,21,109
63,NVP80cu,23,109
27,NVP80wt,23,109
27,NVP80wt,23,109
27,NVP80wt,23,109
55,Ctrl,21,109
55,Ctrl,22,109
55,Ctrl,22,109
29,NVP64cu,27,103
29,NVP64cu,27,103
29,NVP64cu,24,103
121,NVP64wt,24,103
121,NVP64wt,24,103
121,NVP64wt,24,103
8,NVP80cu,21,103
8,NVP80cu,21,103
8,NVP80cu,22,103
67,NVP80wt,22,103
67,NVP80wt,22,103
67,NVP80wt,23,103
45,Ctrl,23,103
45,Ctrl,23,103
45,Ctrl,NA,103
19,NVP64cu,21,112
19,NVP64cu,22,112
19,NVP64cu,24,112
56,NVP64wt,21,112
56,NVP64wt,22,112
56,NVP64wt,23,112
123,NVP80cu,21,112
123,NVP80cu,22,112
123,NVP80cu,24,112
17,NVP80wt,21,112
17,NVP80wt,22,112
17,NVP80wt,24,112
10,Ctrl,22,112
10,Ctrl,22,112
10,Ctrl,22,112
99,NVP64cu,27,104
99,NVP64cu,21,104
99,NVP64cu,24,104
41,NVP64wt,22,104
41,NVP64wt,22,104
41,NVP64wt,22,104
133,NVP80cu,21,104
133,NVP80cu,22,104
133,NVP80cu,23,104
72,NVP80wt,22,104
72,NVP80wt,23,104
72,NVP80wt,23,104
100,Ctrl,22,104
100,Ctrl,22,104
100,Ctrl,24,104
69,NVP64cu,23,104
69,NVP64cu,23,104
69,NVP64cu,23,104
1,NVP64wt,22,104
1,NVP64wt,23,104
1,NVP64wt,23,104
3,NVP80cu,22,104
3,NVP80cu,22,104
3,NVP80cu,22,104
37,NVP80wt,27,104
37,NVP80wt,23,104
37,NVP80wt,24,104
60,Ctrl,24,104
60,Ctrl,25,104
60,Ctrl,25,104
84,NVP64cu,22,113
84,NVP64cu,24,113
84,NVP64cu,24,113
46,NVP64wt,22,113
46,NVP64wt,22,113
46,NVP64wt,23,113
33,NVP80cu,22,113
33,NVP80cu,22,113
33,NVP80cu,24,113
82,NVP80wt,22,113
82,NVP80wt,24,113
82,NVP80wt,24,113
20,Ctrl,21,113
20,Ctrl,22,113
20,Ctrl,24,113
74,NVP64cu,21,104
74,NVP64cu,22,104
74,NVP64cu,22,104
36,NVP64wt,22,104
36,NVP64wt,22,104
36,NVP64wt,22,104
58,NVP80cu,23,104
58,NVP80cu,23,104
58,NVP80cu,24,104
62,NVP80wt,23,104
62,NVP80wt,23,104
62,NVP80wt,24,104
115,Ctrl,22,104
115,Ctrl,23,104
115,Ctrl,23,104
