Round,Treatment,SampleID,SubID,Root_Len_mm,Dry_Wt_mg,Medium,Lineage,Light_Lev
CuredPanel,NVP64cu,195,R,8.88,2.186,KM,L1,NA
CuredPanel,NVP80cu,196,L,11.885,2.178,KM,L1,NA
CuredPanel,NVP80cu,196,M,11.187,2.482,KM,L1,NA
CuredPanel,NVP80cu,196,R,10.496,2.374,KM,L1,NA
CuredPanel,NVP64cu,197,L,9.691,2.216,KM,L0,NA
CuredPanel,NVP64cu,197,M,7.155,1.772,KM,L0,NA
CuredPanel,NVP64cu,197,R,8.856,1.858,KM,L0,NA
CuredPanel,NVP80cu,198,L,9.917,2.104,KM,L0,NA
CuredPanel,NVP80cu,198,M,6.509,1.322,KM,L0,NA
CuredPanel,NVP80cu,198,R,7.001,1.904,KM,L0,NA
CuredPanel,NVP64wt,199,L,7.963,1.55,KM,NA,NA
CuredPanel,NVP64wt,199,M,9.632,1.698,KM,NA,NA
CuredPanel,NVP64wt,199,R,9.512,1.908,KM,NA,NA
CuredPanel,NVP80wt,200,L,8.555,1.994,KM,NA,NA
CuredPanel,NVP80wt,200,M,11.364,2.228,KM,NA,NA
CuredPanel,NVP80wt,200,R,12.66,2.434,KM,NA,NA
CuredPanel,Ctrl,201,L,10.63,0.876,KM,NA,NA
CuredPanel,Ctrl,201,M,13.567,1.22,KM,NA,NA
CuredPanel,Ctrl,201,R,9.19,1.152,KM,NA,NA
CuredPanel,NVP64cu,202,L,12.588,2.234,KM,L2,NA
CuredPanel,NVP64cu,202,M,11.952,2.706,KM,L2,NA
CuredPanel,NVP64cu,202,R,10.344,2.014,KM,L2,NA
CuredPanel,NVP80cu,203,L,13.997,2.638,KM,L2,NA
CuredPanel,NVP80cu,203,M,12.741,2.834,KM,L2,NA
CuredPanel,NVP80cu,203,R,8.13,2.304,KM,L2,NA
CuredPanel,NVP64cu,204,L,7.188,2.046,KM,L1,NA
CuredPanel,NVP64cu,204,M,14.259,2.736,KM,L1,NA
CuredPanel,NVP64cu,204,R,14.25,2.524,KM,L1,NA
CuredPanel,NVP80cu,205,L,12.957,2.812,KM,L1,NA
CuredPanel,NVP80cu,205,M,8.711,2.262,KM,L1,NA
CuredPanel,NVP80cu,205,R,8.869,2.21,KM,L1,NA
CuredPanel,NVP64cu,206,L,10.811,2.394,KM,L0,NA
CuredPanel,NVP64cu,206,M,14.03,2.262,KM,L0,NA
CuredPanel,NVP64cu,206,R,14.367,2.514,KM,L0,NA
CuredPanel,NVP80cu,207,L,14.674,2.418,KM,L0,NA
CuredPanel,NVP80cu,207,M,7.309,2.802,KM,L0,NA
CuredPanel,NVP80cu,207,R,13.643,2.956,KM,L0,NA
CuredPanel,NVP64wt,208,L,11.213,1.942,KM,NA,NA
CuredPanel,NVP64wt,208,M,10.867,1.852,KM,NA,NA
CuredPanel,NVP64wt,208,R,12.525,2.106,KM,NA,NA
CuredPanel,NVP80wt,209,L,10.725,2.59,KM,NA,NA
CuredPanel,NVP80wt,209,M,12.028,2.33,KM,NA,NA
CuredPanel,NVP80wt,209,R,8.696,2.202,KM,NA,NA
CuredPanel,Ctrl,210,L,8.549,1.89,KM,NA,NA
CuredPanel,Ctrl,210,M,8.123,0.636,KM,NA,NA
CuredPanel,Ctrl,210,R,7.927,1.59,KM,NA,NA
CuredPanel,NVP64cu,211,L,13.263,2.37,KM,L2,NA
CuredPanel,NVP64cu,211,M,12.003,2.046,KM,L2,NA
CuredPanel,NVP64cu,211,R,10.84,1.92,KM,L2,NA
CuredPanel,NVP80cu,212,L,9.28,2.062,KM,L2,NA
CuredPanel,NVP80cu,212,M,10.316,2.106,KM,L2,NA
CuredPanel,NVP80cu,212,R,15.008,2.522,KM,L2,NA
CuredPanel,NVP64cu,213,L,13.2,1.984,KM,L1,NA
CuredPanel,NVP64cu,213,M,7.093,2.122,KM,L1,NA
CuredPanel,NVP64cu,213,R,12.119,2.366,KM,L1,NA
CuredPanel,NVP80cu,214,L,8.881,1.424,KM,L1,NA
CuredPanel,NVP80cu,214,M,9.887,2.294,KM,L1,NA
CuredPanel,NVP80cu,214,R,10.763,2.224,KM,L1,NA
CuredPanel,NVP64cu,215,L,7.596,2.078,KM,L0,NA
CuredPanel,NVP64cu,215,M,6.074,1.652,KM,L0,NA
CuredPanel,NVP64cu,215,R,9.824,2.436,KM,L0,NA
CuredPanel,NVP80cu,216,L,8.635,2.928,KM,L0,NA
CuredPanel,NVP80cu,216,M,9.997,3.174,KM,L0,NA
CuredPanel,NVP80cu,216,R,8.853,2.804,KM,L0,NA
CuredPanel,NVP64wt,217,L,7.233,2.276,KM,NA,NA
CuredPanel,NVP64wt,217,M,7.12,2.026,KM,NA,NA
CuredPanel,NVP64wt,217,R,11.777,2.616,KM,NA,NA
CuredPanel,NVP80wt,218,L,7.496,2.096,KM,NA,NA
CuredPanel,NVP80wt,218,M,13.894,3.372,KM,NA,NA
CuredPanel,NVP80wt,218,R,11.436,2.916,KM,NA,NA
CuredPanel,Ctrl,219,L,10.094,0.506,KM,NA,NA
CuredPanel,Ctrl,219,M,13.773,1.016,KM,NA,NA
CuredPanel,Ctrl,219,R,9.371,1.034,KM,NA,NA
CuredPanel,NVP64cu,220,L,13.421,3.096,KM,L2,NA
CuredPanel,NVP64cu,220,M,6.415,1.706,KM,L2,NA
CuredPanel,NVP64cu,220,R,10.217,2.444,KM,L2,NA
CuredPanel,NVP80cu,221,L,6.685,1.374,KM,L2,NA
CuredPanel,NVP80cu,221,M,8.828,2.058,KM,L2,NA
CuredPanel,NVP80cu,221,R,7.485,2.582,KM,L2,NA
CuredPanel,NVP64cu,222,L,9.71,1.902,KM,L1,NA
CuredPanel,NVP64cu,222,M,8.393,2.126,KM,L1,NA
CuredPanel,NVP64cu,222,R,7.694,1.832,KM,L1,NA
CuredPanel,NVP80cu,223,L,8.536,1.952,KM,L1,NA
CuredPanel,NVP80cu,223,M,9.622,2.098,KM,L1,NA
CuredPanel,NVP80cu,223,R,9.358,1.964,KM,L1,NA
CuredPanel,NVP64cu,224,L,8.181,2.108,KM,L0,NA
CuredPanel,NVP64cu,224,M,1.869,2.374,KM,L0,NA
CuredPanel,NVP64cu,224,R,8.713,2.19,KM,L0,NA
CuredPanel,NVP80cu,225,L,12.174,2.266,KM,L0,NA
CuredPanel,NVP80cu,225,M,13.739,2.322,KM,L0,NA
CuredPanel,NVP80cu,225,R,12.621,3.068,KM,L0,NA
CuredPanel,NVP64wt,226,L,12.41,2.274,KM,NA,NA
CuredPanel,NVP64wt,226,M,11.901,1.736,KM,NA,NA
CuredPanel,NVP64wt,226,R,10.036,2.234,KM,NA,NA
CuredPanel,NVP80wt,227,L,10.031,2.184,KM,NA,NA
CuredPanel,NVP80wt,227,M,11.776,2.69,KM,NA,NA
CuredPanel,NVP80wt,227,R,8.531,2.472,KM,NA,NA
CuredPanel,Ctrl,228,L,12.484,2.24,KM,NA,NA
CuredPanel,Ctrl,228,M,11.579,1.004,KM,NA,NA
CuredPanel,Ctrl,228,R,10.605,0.252,KM,NA,NA
CuredPanel,NVP64cu,229,L,13.29,2.482,KM,L2,NA
CuredPanel,NVP64cu,229,M,12.675,2.358,KM,L2,NA
CuredPanel,NVP64cu,229,R,8.222,1.876,KM,L2,NA
CuredPanel,NVP80cu,230,L,7.684,2.714,KM,L2,NA
CuredPanel,NVP80cu,230,M,13.503,1.644,KM,L2,NA
CuredPanel,NVP80cu,230,R,15.196,2.396,KM,L2,NA
CuredPanel,NVP64cu,231,L,9.613,2.27,KM,L1,NA
CuredPanel,NVP64cu,231,M,7.222,2.008,KM,L1,NA
CuredPanel,NVP64cu,231,R,10.04,3.148,KM,L1,NA
CuredPanel,NVP80cu,232,L,8.804,2.676,KM,L1,NA
CuredPanel,NVP80cu,232,M,6.743,2.512,KM,L1,NA
CuredPanel,NVP80cu,232,R,8.367,2.89,KM,L1,NA
CuredPanel,NVP64cu,233,L,7.474,2.274,KM,L0,NA
CuredPanel,NVP64cu,233,M,6.851,1.692,KM,L0,NA
CuredPanel,NVP64cu,233,R,6.382,3.044,KM,L0,NA
CuredPanel,NVP80cu,234,L,7.689,1.908,KM,L0,NA
CuredPanel,NVP80cu,234,M,11.546,3.936,KM,L0,NA
CuredPanel,NVP80cu,234,R,7.207,2.66,KM,L0,NA
CuredPanel,NVP64wt,235,L,10.842,3.006,KM,NA,NA
CuredPanel,NVP64wt,235,M,8.295,2.582,KM,NA,NA
CuredPanel,NVP64wt,235,R,11.096,3.222,KM,NA,NA
CuredPanel,NVP80wt,236,L,8.465,2.078,KM,NA,NA
CuredPanel,NVP80wt,236,M,10.094,3.548,KM,NA,NA
CuredPanel,NVP80wt,236,R,7.572,2.458,KM,NA,NA
CuredPanel,Ctrl,237,L,10.088,2.018,KM,NA,NA
CuredPanel,Ctrl,237,M,9.239,0.866,KM,NA,NA
CuredPanel,Ctrl,237,R,10.197,1.242,KM,NA,NA
CuredPanel,NVP64cu,238,L,7.829,2.058,KM,L2,NA
CuredPanel,NVP64cu,238,M,9.658,2.342,KM,L2,NA
CuredPanel,NVP64cu,238,R,9.6,2.552,KM,L2,NA
CuredPanel,NVP80cu,239,L,9.663,2.226,KM,L2,NA
CuredPanel,NVP80cu,239,M,7.045,2.514,KM,L2,NA
CuredPanel,NVP80cu,239,R,10.984,2.906,KM,L2,NA
CuredPanel,NVP64cu,240,L,8.816,2.916,KM,L1,NA
CuredPanel,NVP64cu,240,M,11.186,3.372,KM,L1,NA
CuredPanel,NVP64cu,240,R,6.731,1.506,KM,L1,NA
CuredPanel,NVP80cu,241,L,6.667,2.238,KM,L1,NA
CuredPanel,NVP80cu,241,M,8.286,2.37,KM,L1,NA
CuredPanel,NVP80cu,241,R,8.531,2.37,KM,L1,NA
CuredPanel,NVP64cu,242,L,5.744,2.194,KM,L0,NA
CuredPanel,NVP64cu,242,M,9,2.54,KM,L0,NA
CuredPanel,NVP64cu,242,R,12.261,3.43,KM,L0,NA
CuredPanel,NVP80cu,243,L,6.973,1.746,KM,L0,NA
CuredPanel,NVP80cu,243,M,10.617,2.632,KM,L0,NA
CuredPanel,NVP80cu,243,R,12.552,2.964,KM,L0,NA
CuredPanel,NVP64wt,244,L,6.629,1.98,KM,NA,NA
CuredPanel,NVP64wt,244,M,7.484,2.072,KM,NA,NA
CuredPanel,NVP64wt,244,R,7.2,2.088,KM,NA,NA
CuredPanel,NVP80wt,245,L,10.985,2.39,KM,NA,NA
CuredPanel,NVP80wt,245,M,8.675,1.802,KM,NA,NA
CuredPanel,NVP80wt,245,R,10.044,2.402,KM,NA,NA
CuredPanel,Ctrl,246,L,16.71,1.628,KM,NA,NA
CuredPanel,Ctrl,246,M,15.792,1.792,KM,NA,NA
CuredPanel,Ctrl,246,R,15.694,1.778,KM,NA,NA
CuredPanel,NVP64cu,247,L,7.707,1.148,KM,L2,NA
CuredPanel,NVP64cu,247,M,12.038,2.224,KM,L2,NA
CuredPanel,NVP64cu,247,R,9.564,2.006,KM,L2,NA
CuredPanel,NVP80cu,248,L,13.129,2.374,KM,L2,NA
CuredPanel,NVP80cu,248,M,11.916,1.946,KM,L2,NA
CuredPanel,NVP80cu,248,R,6.204,0.984,KM,L2,NA
CuredPanel,NVP64cu,249,L,10.073,2.118,KM,L1,NA
CuredPanel,NVP64cu,249,M,12.893,2.35,KM,L1,NA
CuredPanel,NVP64cu,249,R,13.672,2.856,KM,L1,NA
CuredPanel,NVP80cu,250,L,12.91,2.54,KM,L1,NA
CuredPanel,NVP80cu,250,M,11.988,2.466,KM,L1,NA
CuredPanel,NVP80cu,250,R,12.85,2.024,KM,L1,NA
CuredPanel,NVP64cu,251,L,13.613,2.138,KM,L0,NA
CuredPanel,NVP64cu,251,M,15.192,2.878,KM,L0,NA
CuredPanel,NVP64cu,251,R,9.435,2.016,KM,L0,NA
CuredPanel,NVP80cu,252,L,14.54,2.63,KM,L0,NA
CuredPanel,NVP80cu,252,M,7.292,2.19,KM,L0,NA
CuredPanel,NVP80cu,252,R,15.346,2.87,KM,L0,NA
CuredPanel,NVP64wt,253,L,14.344,3.166,KM,NA,NA
CuredPanel,NVP64wt,253,M,7.271,2.718,KM,NA,NA
CuredPanel,NVP64wt,253,R,14.508,2.81,KM,NA,NA
CuredPanel,NVP80wt,254,L,13.807,3.24,KM,NA,NA
CuredPanel,NVP80wt,254,M,8.604,2.752,KM,NA,NA
CuredPanel,NVP80wt,254,R,8.406,2.572,KM,NA,NA
CuredPanel,Ctrl,255,L,11.851,1.514,KM,NA,NA
CuredPanel,Ctrl,255,M,7.347,0.304,KM,NA,NA
CuredPanel,Ctrl,255,R,12.227,1.8,KM,NA,NA
